NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
SOPA DE CUITLACOCHE|ESTADO DE MEXICO|4|10|20|0|0|0|1|2|CUITLACOCHE, CALDO DE POLLO, EPAZOTE, CREMA, CHILE PASILLA, SAL, PIMIENTA|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
SOPA DE ELOTE CON ACEITE DE CHILE POBLANO|CIUDAD DE MEXICO|8|40|50|0|0|0|2|2|ACEITE DE MAIZ, CHILE POBLANO, SAL, CERDO, CEBOLLA, AJO, CUITLACOCHE, TORTILLA, ELOTE, PORO, PAPA, MANTEQUILLA, CALDO DE POLLO, EPAZOTE|SOPA|México Contemporáneo (1940 - Actualidad)|Sopas y caldos
SOPA DE FRUTAS|CIUDAD DE MEXICO|6|10|0|0|0|0|1|2|PAPAYA, YOGUR, AGUA, MIEL, FRESA, ZARZAMORA, FRAMBUESA, HIERBABUENA|DULCES Y POSTRES|Influencia europea / Porfiriato (1821 - 1910)|Sopas y caldos
SOPA DE GUIAS DE FLORES DE FRIJOLON|OAXACA|8|40|30|0|0|0|2|1|ELOTE, AJO, CEBOLLA, CHILE GUAJILLO, CALABAZA, FRIJOLON, CALABAZA, CHEPIL, TORTILLA, MANTECA, LIMON, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
SOPA DE MEDULA|ESTADO DE MEXICO|8|10|30|0|0|0|2|2|ACEITE, CEBOLLA, AJO, CHILE GUAJILLO, JITOMATE, MEDULA, EPAZOTE, SAL, PIMIENTA|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA DE PAN|CHIAPAS|8|35|40|5|0|0|2|2|CALDO DE POLLO, TOMILLO, OREGANO, PIMIENTA, AZAFRAN, AZUCAR, CHICHAROS, PAPA, ZANAHORIA, EJOTE, CALABAZA, CERDO, PAN DULCE, BAGUETTE, JITOMATE, CEBOLLA, PLATANO MACHO, PASAS, HUEVO, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA DE PASTA|CIUDAD DE MEXICO|4|10|15|0|0|0|1|1|JITOMATE, CEBOLLA, AJO, PEREJIL, CALDO DE POLLO, CERDO, POLLO, ACEITE, FIDEO, SAL, PIMIENTA|SOPA|Influencia europea / Porfiriato (1821 - 1910)|Sopas y caldos
SOPA DE QUINTONILES|ESTADO DE MEXICO|4|10|20|0|0|0|2|2|QUINTONIL, BICARBONATO DE SODIO, ACEITE, MANTEQUILLA, CEBOLLA, AJO, JITOMATE, CALDO DE POLLO, EPAZOTE, QUESO PANELA, TORTILLA DE MAIZ, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
SOPA DE TORTILLA|CIUDAD DE MEXICO|8|15|15|0|0|0|2|1|ACEITE, TORTILLA DE MAIZ, AJO, CEBOLLA, JITOMATE, CHILE PASILLA, EPAZOTE, CALDO DE POLLO, QUESO AÑEJO, AGUACATE, CILANTRO, CEBOLLA, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA SECA DE NATAS|JALISCO|10|20|120|30|0|0|2|2|LECHE, HUEVO, TRIGO, MANTEQUILLA, JITOMATE, NATA, SAL, POLLO, CEBOLLA, CILANTRO, CHILE POBLANO, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
